Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  154    299.42      3.03      -1      1     299.42      0.00      302.45      3.03
  155    300.05      19.83      0      1     302.45      2.40      322.28      22.23
  156    303.74      3.35      0      2     313.74      10.00      317.10      13.35
  157    304.04      4.12      0      2     317.10      13.06      321.22      17.18
  158    305.06      0.30      0      0     317.20      12.15      317.50      12.44
  159    306.62      4.33      0      0     317.50      10.88      321.83      15.21
  160    313.44      7.27      0      2     321.22      7.78      328.48      15.05
  161    313.87      1.60      0      0     321.83      7.96      323.43      9.56
  162    314.35      3.81      0      1     322.28      7.94      326.09      11.75
  163    321.12      8.88      0      0     323.43      2.31      332.31      11.18
  164    322.40      2.35      0      1     326.09      3.69      328.44      6.04
  165    329.14      7.81      -1      1     329.14      0.00      336.95      7.81
  166    329.15      3.39      -1      2     329.15      0.00      332.54      3.39
  167    329.46      8.75      0      0     332.31      2.85      341.06      11.60
  168    329.59      2.81      0      2     332.54      2.95      335.34      5.75
  169    331.05      29.35      0      2     335.34      4.29      364.69      33.64
  170    338.29      11.70      -1      1     338.29      0.00      349.99      11.70
  171    339.09      11.19      0      0     341.06      1.97      352.25      13.15
  172    339.14      8.80      0      1     349.99      10.85      358.79      19.65
  173    343.63      3.69      0      0     352.25      8.62      355.94      12.31
  174    347.91      13.50      0      0     355.94      8.04      369.44      21.53
  175    348.82      6.55      0      1     358.79      9.97      365.35      16.53
  176    348.94      3.09      0      2     364.69      15.75      367.78      18.84
  177    349.63      3.74      0      1     365.35      15.72      369.09      19.47
  178    349.83      11.39      0      2     367.78      17.95      379.17      29.34
  179    350.86      11.76      0      1     369.09      18.23      380.85      30.00
  180    351.08      5.82      0      0     369.44      18.36      375.26      24.18
  181    351.09      10.36      0      0     375.26      24.18      385.62      34.53
  182    353.05      1.80      0      2     379.17      26.12      380.97      27.92
  183    353.17      8.31      0      1     380.85      27.68      389.16      35.99
  184    358.14      22.58      0      2     380.97      22.83      403.55      45.42
  186    359.40      8.33      0      0     385.62      26.22      393.95      34.55
  188    368.10      19.00      0      1     389.16      21.06      408.16      40.06
  189    376.90      13.51      0      0     393.95      17.04      407.46      30.55
  190    378.63      0.96      0      2     403.55      24.92      404.51      25.88
  191    378.74      0.54      0      2     404.51      25.76      405.04      26.30
