Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  99    171.91      0.52      0      3     183.70      11.79      184.22      12.31
  100    173.54      7.66      0      2     183.72      10.18      191.38      17.84
  101    174.39      3.19      0      3     184.22      9.82      187.41      13.02
  102    174.46      0.82      0      3     187.41      12.95      188.23      13.77
  103    175.69      4.03      0      3     188.23      12.55      192.27      16.58
  104    175.88      9.00      0      2     191.38      15.50      200.38      24.50
  105    179.36      5.52      0      1     191.67      12.31      197.19      17.83
  106    181.72      1.17      0      3     192.27      10.55      193.43      11.72
  107    184.66      14.71      0      3     193.43      8.77      208.14      23.48
  108    187.00      1.32      0      1     197.19      10.19      198.51      11.51
  109    188.59      2.09      0      1     198.51      9.92      200.60      12.01
  110    190.43      19.49      0      0     198.62      8.19      218.12      27.69
  111    193.22      6.36      0      2     200.38      7.17      206.74      13.52
  112    194.34      6.56      0      1     200.60      6.26      207.17      12.83
  113    208.42      9.00      -1      1     208.42      0.00      217.42      9.00
  114    209.52      26.31      -1      2     209.52      0.00      235.83      26.31
  115    209.58      8.12      -1      3     209.58      0.00      217.70      8.12
  116    211.12      6.87      0      1     217.42      6.30      224.29      13.17
  117    211.53      12.74      0      3     217.70      6.17      230.44      18.91
  118    214.27      9.72      0      0     218.12      3.85      227.84      13.57
  119    214.41      10.71      0      1     224.29      9.88      235.00      20.59
  120    215.54      3.90      0      0     227.84      12.29      231.74      16.19
  121    215.92      2.08      0      3     230.44      14.52      232.52      16.60
  122    218.67      4.09      0      0     231.74      13.07      235.83      17.16
  123    219.50      1.55      0      3     232.52      13.02      234.07      14.57
  124    225.94      4.59      0      3     234.07      8.13      238.67      12.72
  125    233.90      16.91      0      1     235.00      1.10      251.91      18.01
  126    237.20      5.15      -1      0     237.20      0.00      242.35      5.15
  127    238.03      1.40      -1      2     238.03      0.00      239.43      1.40
  128    238.19      8.50      0      3     238.67      0.48      247.16      8.98
  129    239.09      29.66      0      2     239.43      0.34      269.09      30.00
  130    242.54      6.79      -1      0     242.54      0.00      249.33      6.79
  131    242.94      0.65      0      3     247.16      4.23      247.81      4.87
  132    243.23      18.51      0      3     247.81      4.58      266.32      23.08
  133    245.66      0.53      0      0     249.33      3.67      249.86      4.20
  134    247.66      6.39      0      0     249.86      2.20      256.25      8.59
  135    249.24      10.72      0      1     251.91      2.67      262.64      13.40
  136    250.80      2.11      0      0     256.25      5.45      258.37      7.57
  137    250.96      1.54      0      0     258.37      7.41      259.91      8.95
  138    254.16      3.12      0      0     259.91      5.75      263.03      8.87
  139    254.89      1.83      0      1     262.64      7.74      264.46      9.57
  140    255.76      2.14      0      0     263.03      7.27      265.17      9.41
  141    256.23      1.12      0      1     264.46      8.23      265.58      9.35
  142    258.25      1.87      0      0     265.17      6.91      267.04      8.79
  143    264.55      5.96      0      1     265.58      1.03      271.54      6.99
  144    264.97      5.44      0      3     266.32      1.34      271.75      6.78
  145    268.96      10.97      -1      0     268.96      0.00      279.94      10.97
  146    269.55      1.89      -1      2     269.55      0.00      271.44      1.89
  147    272.30      5.74      -1      1     272.30      0.00      278.03      5.74
  148    273.68      31.72      -1      2     273.68      0.00      305.40      31.72
  149    278.44      3.91      -1      1     278.44      0.00      282.35      3.91
  150    287.41      4.10      -1      0     287.41      0.00      291.51      4.10
  151    287.83      3.88      -1      1     287.83      0.00      291.71      3.88
  152    297.91      19.29      -1      0     297.91      0.00      317.20      19.29
  153    298.05      0.95      -1      1     298.05      0.00      299.00      0.95
  154    299.42      3.03      -1      1     299.42      0.00      302.45      3.03
  155    300.05      19.83      -1      3     300.05      0.00      319.88      19.83
  156    303.74      3.35      -1      1     303.74      0.00      307.09      3.35
  157    304.04      4.12      0      2     305.40      1.36      309.52      5.48
  158    305.06      0.30      0      1     307.09      2.04      307.39      2.33
  159    306.62      4.33      0      1     307.39      0.77      311.72      5.10
  160    313.44      7.27      -1      1     313.44      0.00      320.71      7.27
  161    313.87      1.60      -1      2     313.87      0.00      315.47      1.60
  162    314.35      3.81      0      2     315.47      1.13      319.28      4.94
  163    321.12      8.88      -1      0     321.12      0.00      330.00      8.88
  164    322.40      2.35      -1      1     322.40      0.00      324.75      2.35
  165    329.14      7.81      -1      1     329.14      0.00      336.95      7.81
  166    329.15      3.39      -1      2     329.15      0.00      332.54      3.39
  167    329.46      8.75      -1      3     329.46      0.00      338.21      8.75
  168    329.59      2.81      0      0     330.00      0.41      332.81      3.22
  169    331.05      29.35      0      2     332.54      1.49      361.89      30.84
  170    338.29      11.70      -1      0     338.29      0.00      349.99      11.70
  171    339.09      11.19      -1      1     339.09      0.00      350.28      11.19
  172    339.14      8.80      -1      3     339.14      0.00      347.94      8.80
  173    343.63      3.69      0      3     347.94      4.31      351.63      8.00
  174    347.91      13.50      0      0     349.99      2.09      363.49      15.59
  175    348.82      6.55      0      1     350.28      1.46      356.84      8.02
  176    348.94      3.09      0      3     351.63      2.69      354.72      5.78
  177    349.63      3.74      0      3     354.72      5.10      358.47      8.84
  178    349.83      11.39      0      1     356.84      7.00      368.23      18.39
  179    350.86      11.76      0      3     358.47      7.61      370.23      19.37
  180    351.08      5.82      0      2     361.89      10.80      367.71      16.63
  181    351.09      10.36      0      0     363.49      12.40      373.85      22.76
  182    353.05      1.80      0      2     367.71      14.66      369.51      16.46
  183    353.17      8.31      0      1     368.23      15.05      376.53      23.36
  184    358.14      22.58      0      2     369.51      11.37      392.09      33.96
  185    358.47      5.92      0      3     370.23      11.76      376.15      17.68
  186    359.40      8.33      0      0     373.85      14.45      382.17      22.78
  187    360.55      16.12      0      3     376.15      15.59      392.27      31.72
  188    368.10      19.00      0      1     376.53      8.43      395.53      27.43
  189    376.90      13.51      0      0     382.17      5.27      395.68      18.78
  190    378.63      0.96      0      2     392.09      13.46      393.05      14.42
  191    378.74      0.54      0      3     392.27      13.53      392.81      14.06
  192    379.02      10.27      0      3     392.81      13.78      403.07      24.05
  193    379.49      3.50      0      2     393.05      13.56      396.54      17.06
  194    379.74      1.60      0      1     395.53      15.79      397.13      17.39
  195    381.86      1.31      0      0     395.68      13.83      397.00      15.14
  196    387.04      30.45      0      2     396.54      9.51      427.00      39.96
  197    389.11      25.99      0      0     397.00      7.89      422.99      33.88
  198    389.39      8.84      0      1     397.13      7.74      405.97      16.58
  199    390.70      2.75      0      3     403.07      12.37      405.83      15.12
  200    392.29      3.04      0      3     405.83      13.53      408.87      16.57
  201    392.90      11.36      0      1     405.97      13.07      417.33      24.43
  202    393.19      13.93      0      3     408.87      15.68      422.80      29.62
  203    394.43      1.13      0      1     417.33      22.90      418.46      24.03
  204    399.22      33.17      0      1     418.46      19.24      451.63      52.41
  205    399.78      2.15      0      3     422.80      23.03      424.95      25.17
  206    401.87      10.61      0      0     422.99      21.12      433.59      31.72
  207    402.75      8.19      0      3     424.95      22.20      433.15      30.40
  208    403.15      1.67      0      2     427.00      23.85      428.67      25.52
